boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,High (RCP 8.5)
climate indicator,Extreme Heat Days Frequency
threshold,95.2 °F

year,Observed,CanESM2 (Average)
1950,2,7
1951,0,4
1952,0,2
1953,4,1
1954,0,0
1955,8,4
1956,4,0
1957,3,1
1958,5,1
1959,4,2
1960,2,2
1961,3,1
1962,0,1
1963,7,0
1964,0,8
1965,3,2
1966,1,2
1967,4,0
1968,4,1
1969,0,0
1970,2,0
1971,9,0
1972,5,2
1973,6,3
1974,1,2
1975,2,4
1976,7,0
1977,1,0
1978,7,4
1979,11,1
1980,3,1
1981,9,4
1982,4,0
1983,5,0
1984,9,0
1985,10,5
1986,0,0
1987,4,4
1988,4,2
1989,4,2
1990,4,1
1991,4,4
1992,0,2
1993,0,12
1994,3,2
1995,1,6
1996,2,4
1997,4,12
1998,3,2
1999,2,0
2000,1,3
2001,0,5
2002,1,0
2003,0,6
2004,3,1
2005,1,2
2006,,6
2007,,0
2008,,3
2009,,1
2010,,2
2011,,3
2012,,14
2013,,5
2014,,1
2015,,4
2016,,5
2017,,1
2018,,4
2019,,8
2020,,6
2021,,17
2022,,17
2023,,11
2024,,19
2025,,13
2026,,18
2027,,3
2028,,4
2029,,9
2030,,19
2031,,17
2032,,3
2033,,0
2034,,9
2035,,12
2036,,29
2037,,21
2038,,12
2039,,13
2040,,28
2041,,27
2042,,8
2043,,3
2044,,16
2045,,11
2046,,4
2047,,30
2048,,27
2049,,22
2050,,23
2051,,31
2052,,32
2053,,28
2054,,24
2055,,8
2056,,16
2057,,50
2058,,16
2059,,29
2060,,14
2061,,37
2062,,17
2063,,23
2064,,36
2065,,17
2066,,32
2067,,53
2068,,28
2069,,31
2070,,28
2071,,49
2072,,13
2073,,44
2074,,29
2075,,34
2076,,43
2077,,40
2078,,46
2079,,37
2080,,17
2081,,56
2082,,45
2083,,63
2084,,34
2085,,51
2086,,35
2087,,52
2088,,53
2089,,51
2090,,51
2091,,28
2092,,29
2093,,68
2094,,53
2095,,36
2096,,72
2097,,43
2098,,68
2099,,52
